Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,CustomerTenureDays,AvgDaysBetweenPurchases,UniqueProducts,UniqueCountries,ZeroPriceCount,CancelledTransactions,TotalTransactions,AvgLinesPerInvoice,Age,SupportTicketsCount,PreferredTimeOfDay,RegAnciennete,IP_privee,AvgBasketValue,CancelRatio,Region_Afrique,Region_Amérique du Nord,Region_Amérique du Sud,Region_Asie,Region_Autre,Region_Europe centrale,Region_Europe continentale,Region_Europe de l'Est,Region_Europe du Nord,Region_Europe du Sud,Region_Moyen-Orient,Region_Océanie,Region_UK,WeekendPreference_Inconnu,WeekendPreference_Semaine,WeekendPreference_Weekend,ProductDiversity_Explorateur,ProductDiversity_Modéré,ProductDiversity_Spécialisé,Gender_F,Gender_M,Gender_Unknown,Churn,Cluster
1,173.7,57.9,69.36863484313353,17.85,138.0,46,15.333333333333334,3,40,0,0.0,3,1,0,0,3,3.0,64.0,2.0,3,1079,0,86.85,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0
5,2100.6,42.86938775510204,44.4814757515307,5.04,254.4,1856,37.87755102040816,2,240,196,4.0625,33,1,0,0,49,9.8,49.0,5.0,2,492,0,350.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2
4,1039.58,3.548054607508532,3.5395785636098984,0.21,23.85,933,3.1843003412969284,1,60,245,0.8356164383561644,233,1,0,0,293,73.25,36.0,1.0,2,815,0,207.916,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,2
3,620.04,2.707598253275109,2.742899908503245,0.19,15.3,348,1.519650655021834,1,9,50,0.2149122807017544,177,1,0,0,229,76.33333333333333,38.0,0.0,3,530,0,155.01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
2,1992.11,66.40366666666667,35.523218097787655,22.5,178.4,729,24.3,1,120,32,1.103448275862069,29,1,0,0,30,15.0,77.0,3.0,1,394,0,664.0366666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
2,308.26,14.67904761904762,10.50851935562851,-19.9,30.0,274,13.047619047619047,-2,24,121,6.05,21,1,0,1,21,10.5,67.0,1.0,3,769,0,102.75333333333332,0.0454545454545454,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0
6,1839.31,18.3931,12.96631281709288,-11.25,72.0,1529,15.29,-3,144,167,1.6666666666666667,84,1,0,1,100,16.666666666666668,35.0,0.0,3,1061,0,262.75857142857143,0.0099009900990099,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
2,360.01000000000005,6.315964912280703,11.172808647344477,1.25,85.80000000000001,318,5.578947368421052,1,156,163,2.9107142857142856,56,1,0,0,57,28.5,20.0,1.0,2,755,0,120.00333333333334,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
8,1301.44,25.02769230769231,21.2580372450354,-17.85,107.28,668,12.846153846153848,-3,72,161,3.117647058823529,34,1,0,2,52,6.5,23.0,0.0,1,577,0,144.60444444444445,0.0377358490566037,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2
3,454.8999999999999,14.215624999999998,47.24574983018186,-102.0,175.2,98,3.0625,-24,24,23,0.7419354838709677,14,1,0,12,32,10.666666666666666,26.0,4.0,2,720,0,113.72499999999998,0.3636363636363636,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
1,369.2,18.46,6.250002105262803,8.5,40.5,184,9.2,6,12,0,0.0,20,1,0,0,20,20.0,29.0,0.0,3,688,0,184.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
1,305.28,16.959999999999997,9.790266474772729,5.04,41.6,221,12.27777777777778,6,25,0,0.0,18,1,0,0,18,18.0,77.0,2.0,3,573,0,152.64,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
1,225.36,4.024285714285715,4.231329409467971,0.42,18.75,89,1.5892857142857142,1,16,0,0.0,56,1,0,0,56,56.0,61.0,1.0,2,476,0,112.68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
3,390.66,27.90428571428572,23.04183209672413,-8.850000000000001,90.0,174,12.428571428571429,-3,72,369,28.384615384615383,13,1,0,1,14,4.666666666666667,39.0,1.0,2,843,0,97.665,0.0666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,2
6,2686.4200000000005,95.94357142857145,156.34576639056772,1.9,851.76,1902,67.92857142857143,2,504,157,5.777777777777778,23,1,0,0,28,4.666666666666667,67.0,3.0,1,834,0,383.7742857142858,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2
11,2581.04,39.70830769230769,41.087876274867824,-18.0,237.6,773,11.892307692307693,-1,48,342,5.296875,32,1,0,1,65,5.909090909090909,49.0,0.0,1,846,0,215.08666666666667,0.0151515151515151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2
6,3073.77,23.82767441860465,13.867978206985278,-14.85,67.5,1532,11.875968992248062,-5,48,265,2.0625,111,1,0,2,129,21.5,50.0,2.0,2,843,0,439.11,0.0153846153846153,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,2
2,2949.75,18.20833333333333,11.133439209585706,1.25,87.0,1816,11.209876543209877,1,75,0,0.0,146,1,0,0,162,81.0,49.0,1.0,3,446,0,983.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1,208.75,20.875,9.357327788067131,10.2,38.25,116,11.6,2,25,0,0.0,10,1,0,0,10,10.0,37.0,4.0,1,504,0,104.375,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
6,2068.15,14.362152777777778,28.96332434082111,0.21,179.0,1646,11.430555555555555,1,200,220,1.5244755244755244,110,1,0,0,144,24.0,24.0,2.0,3,631,0,295.45,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2
15,4690.31,35.00231343283582,34.41482256094053,7.800000000000001,237.6,3850,28.73134328358209,2,600,371,2.7518796992481205,95,1,0,0,134,8.933333333333334,40.0,2.0,1,844,0,293.144375,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2
1,572.81,11.933541666666663,6.295356441189904,1.9,31.200000000000003,575,11.979166666666666,1,48,0,0.0,46,1,0,0,48,48.0,32.0,0.0,3,1058,0,286.405,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
8,1936.84,6.892669039145908,6.205814295084386,0.42,49.9,1160,4.128113879003559,1,48,251,0.8821428571428571,153,1,0,0,281,35.125,45.0,3.0,2,941,0,215.20444444444445,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,2
13,2323.5000000000005,20.030172413793107,12.627737239747349,-38.25,79.2,986,8.5,-3,24,272,2.3304347826086955,83,1,0,4,116,8.923076923076923,49.0,5.0,3,797,0,165.96428571428575,0.0341880341880341,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,2
2,2906.8500000000004,29.661734693877555,40.54791789245686,2.88,320.0,1180,12.040816326530612,1,48,125,1.288659793814433,84,1,0,0,98,49.0,49.0,0.0,2,542,0,968.9500000000002,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,59.8,59.8,0.0,59.8,59.8,4,4.0,4,4,0,,1,1,0,0,1,1.0,49.0,5.0,1,613,0,29.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0
4,896.6600000000001,8.459056603773586,6.967078301117933,0.65,33.9,421,3.9716981132075473,1,25,61,0.580952380952381,87,1,0,0,106,26.5,75.0,1.0,2,640,0,179.33200000000002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
10,2319.6800000000003,18.85918699186992,17.843888727162877,-8.850000000000001,138.24,1619,13.16260162601626,-6,192,350,2.8278688524590163,75,1,0,6,123,12.3,49.0,2.0,1,789,0,210.88,0.0483870967741935,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2
1,1077.74,56.72315789473684,65.70661974536945,5.04,232.0,486,25.57894736842105,2,160,0,0.0,19,1,0,0,19,19.0,53.0,1.0,1,581,0,538.87,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
2,597.4799999999999,3.854709677419354,4.010640929068411,0.29,29.5,311,2.0064516129032257,1,25,131,0.8506493506493507,138,1,0,0,155,77.5,49.0,4.0,3,617,0,199.16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0
