Frequency,MonetaryTotal,CustomerTenureDays,AvgDaysBetweenPurchases,TotalTransactions,Cluster
35,5288.630000000001,71,0.2218649517684887,312,1
18,3079.1,342,1.7179487179487178,196,1
18,7187.34,370,1.456,251,1
5,948.25,278,10.25925925925926,28,1
6,635.1,43,8.2,6,1
20,4596.51,348,3.1481481481481484,109,1
27,5107.38,366,0.9972067039106144,359,1
15,4627.62,357,5.587301587301587,64,1
118,59419.34,373,0.1285140562248996,2491,1
86,7711.38,371,0.3336633663366337,1011,1
7,2005.63,286,4.2727272727272725,67,1
1,489.6,0,0.0,13,1
3,598.83,323,11.10344827586207,30,1
76,50992.61,335,1.1465201465201464,274,1
2,389.44,112,4.869565217391305,24,1
18,6416.389999999999,338,1.3849372384937235,240,1
46,88125.38,370,0.3255813953488372,1076,1
3,-141.48,155,9.6875,17,2
3,711.86,366,13.51851851851852,28,1
81,27487.41,371,0.688,501,1
52,16945.71,371,0.8793969849246231,399,1
13,2894.33,372,9.91891891891892,38,1
10,3465.6700000000005,357,1.7828282828282829,199,1
4,832.88,365,2.493150684931507,147,1
22,14520.080000000002,342,1.0702875399361025,314,1
1,192.6,0,0.0,2,1
8,3054.87,343,3.831460674157303,90,1
4,1659.75,264,52.6,6,1
6,2995.72,284,1.5754189944134078,180,1
1,243.28,0,0.0,58,1
17,4204.1,369,0.516546762589928,696,1
2,683.13,340,2.78688524590164,123,1
3,390.66,369,28.384615384615383,14,1
1,233.45,0,0.0,14,1
2,689.9499999999999,43,1.5357142857142858,29,1
7,3190.55,361,3.0948275862068964,117,1
60,62653.1,369,0.5941780821917808,585,1
4,1475.02,351,3.125,113,1
28,7904.280000000001,351,0.887468030690537,392,1
1,277.35,0,0.0,85,1
18,21086.300000000003,372,2.9836065573770494,123,1
4,541.1,200,1.7543859649122806,115,1
21,3925.92,349,0.8157894736842105,419,1
2,379.73,130,8.125,17,1
2,239.92,316,14.363636363636363,23,1
4,990.8400000000004,333,16.65,21,1
1,313.49000000000007,0,0.0,71,1
224,29072.1,372,0.0642102995044171,4642,1
2,423.04,319,2.5118110236220472,128,1
6,1607.0600000000002,187,1.7452830188679245,107,1
4,226.75,302,27.27272727272728,12,1
6,1049.37,271,4.203125,65,1
4,2030.33,327,8.35897435897436,40,1
12,3817.08,372,1.593073593073593,232,1
4,811.02,371,2.0670391061452515,180,1
1,161.00000000000003,0,0.0,9,1
4,800.24,302,9.12121212121212,34,1
3,2575.0,343,4.023529411764706,86,1
7,13375.87,372,0.883054892601432,420,1
5,493.67,188,7.48,26,1
1,115.65,0,0.0,5,1
5,1198.23,337,5.075757575757576,67,1
12,2888.7500000000005,365,8.547619047619047,43,1
2,363.6000000000001,0,0.0,12,1
2,379.8299999999999,365,7.019230769230769,53,1
1,487.75,0,0.0,27,1
248,132572.62,372,0.047610979329041,5903,1
5,2158.3700000000003,273,2.4727272727272727,111,1
169,40340.78,371,0.0384615384615384,7983,1
13,6229.48,342,0.8589743589743589,391,1
16,2611.58,369,0.7250996015936255,503,1
1,101.55,0,0.0,8,1
6,1764.3600000000004,293,6.488888888888889,46,1
13,7741.47,106,0.5976331360946746,170,1
50,16389.74,369,0.4743243243243243,741,1
41,5656.75,371,1.147540983606557,306,1
2,287.59000000000003,351,14.625,25,1
19,2781.5,292,1.3349056603773586,213,1
3,243.69000000000003,287,35.875,9,1
1,357.94999999999993,0,0.0,67,1
2,538.8100000000001,61,3.388888888888889,19,1
9,2070.9700000000003,368,2.765151515151515,133,1
4,1388.81,370,8.386363636363637,45,1
3,357.77,312,39.0,9,1
41,25748.35,372,1.6330275229357798,219,1
16,4748.45,342,1.303501945525292,258,1
11,1407.2900000000002,229,2.215686274509804,103,1
8,452.63000000000005,294,8.055555555555555,37,1
20,7276.9,361,2.147239263803681,164,1
1,311.81,0,0.0,22,1
13,2655.2200000000003,345,2.2222222222222223,154,1
1,205.86,0,0.0,14,1
128,11713.85,372,0.1172240201366415,2782,1
2,180.85,244,27.11111111111111,10,1
12,2247.51,155,1.0633802816901408,143,1
20,6703.300000000001,362,2.736434108527132,130,1
1,102.79,0,0.0,28,1
18,8689.39,364,2.23125,161,1
15,6423.599999999999,372,4.6923076923076925,79,1
6,1400.34,361,6.189655172413793,59,1
8,1053.94,91,0.8411214953271028,108,1
17,4063.1,365,1.6574074074074074,217,1
1,303.97,0,0.0,18,1
1,38.1,0,0.0,3,1
8,2628.93,333,0.8004866180048662,412,1
1,208.97,0,0.0,17,1
7,1290.0099999999998,364,10.969696969696969,34,1
7,4912.409999999999,350,7.543478260869565,47,1
27,8574.11,369,1.3408239700374531,268,1
15,4690.31,371,2.7518796992481205,134,1
1,350.05999999999995,0,0.0,10,1
49,18740.92,370,0.6641509433962264,531,1
17,6745.360000000001,361,0.8547215496368039,414,1
23,5845.4400000000005,360,1.1277955271565496,314,1
8,2423.07,364,2.647058823529412,137,1
