,0
Recency,0.34975439717757445
MonetaryPerDay,0.13031622919145375
FavoriteSeason_Automne,0.10691246855179533
FirstPurchaseDaysAgo,0.06489955777874909
CustomerTenureDays,0.06468077287344448
PreferredMonth,0.03762326334450978
TotalTransactions,0.02656985642020787
Frequency,0.02556473468311099
MonetaryTotal,0.01980265316573157
RFMSegment_Fidèles,0.018090761701041125
UniqueInvoices,0.016268664332002226
AvgDaysBetweenPurchases,0.015141351821694288
RegAnciennete,0.014154481680399027
TotalQuantity,0.01237889491244941
SpendingCategory,0.012243378440784778
UniqueProducts,0.012152998711397182
FavoriteSeason_Hiver,0.007179508749863209
FavoriteSeason_Printemps,0.00585723372868338
CustomerType_Régulier,0.005768393398275421
FavoriteSeason_Été,0.0053054720189193135
AvgBasketValue,0.0050943411293022205
UniqueDescriptions,0.005074634649340247
MonetaryMin,0.00407910570827526
RegYear,0.0034258697228818215
ProductDiversity_Explorateur,0.0030688452849458843
MaxQuantity,0.0023543601632819732
MonetaryMax,0.0021536646298149563
AvgProductsPerTransaction,0.0021268508329461045
MonetaryAvg,0.0020152248239939546
ReturnRatio,0.0019227214369063653
MonetaryStd,0.001886831545634223
AvgLinesPerInvoice,0.00138589725401117
RegDay,0.00135469031855902
AvgQuantityPerTransaction,0.0012961560135066952
RegMonth,0.0011319998396469846
ProductDiversity_Modéré,0.0010360778976307471
Age,0.0009993350502534248
MinQuantity,0.0009810616144067448
PreferredDayOfWeek,0.0008183985624020946
WeekendPurchaseRatio,0.0008040576667398215
CancelledTransactions,0.0007279733031027536
WeekendPreference_Semaine,0.0006890792803163962
NegativeQuantityCount,0.0006866152842600919
PreferredHour,0.000601841866850253
SupportTicketsCount,0.0005420681199750203
SatisfactionScore,0.0005249503704996716
BasketSizeCategory,0.0003835120020499377
AgeCategory,0.0003672728449779
CancelRatio,0.00034168286788851404
PreferredTimeOfDay,0.00019755688841518426
Gender_M,0.0001800004611370997
Gender_Unknown,0.00016623014827337046
ProductDiversity_Spécialisé,0.0001205138992780009
Region_Europe du Nord,0.0001152617165054194
IP_privee,9.599272868153744e-05
Region_Europe continentale,9.097812025951907e-05
WeekendPreference_Inconnu,8.639663201116379e-05
Region_Europe de l'Est,7.257965650613594e-05
WeekendPreference_Weekend,7.20852880053252e-05
UniqueCountries,6.199952938869677e-05
Region_Moyen-Orient,4.841366079438595e-05
Region_Amérique du Nord,4.2010396513808725e-05
Region_Océanie,4.065318872516691e-05
ZeroPriceCount,3.317129029472449e-05
Region_UK,2.314456232444568e-05
Gender_F,1.2819066398940466e-05
Region_Europe centrale,1.734753772812889e-16
Region_Autre,2.6801170864627277e-17
Region_Asie,4.63024177608865e-18
Region_Europe du Sud,3.725437325230725e-18
Region_Afrique,0.0
Region_Amérique du Sud,0.0
